Article_Title,Article_Link,Date,Topic
"African, Asian countries to rally behind Afghanistan in crucial meet",https://nation.africa//kenya/news/africa/african-asian-countries-to-rally-behind-afghanistan-in-crucial-meet-3651120,12/14/2021,Terrorism
Boni villagers demand a piece of operation budget,https://nation.africa//kenya/counties/lamu/why-boni-villagers-want-a-piece-of-forest-operation-budget-3652200,12/14/2021,Terrorism
Sofia cartels doing roaring business in Western ,https://nation.africa//kenya/counties/busia/sofia-cartels-doing-roaring-business-in-western-3651980,12/14/2021,Smuggling
Shabaab attempt to abduct worshippers in Wajir,https://nation.africa//kenya/counties/wajir/shabaab-attempt-to-abduct-worshippers-in-wajir-3651720,12/14/2021,Terrorism
"Srinagar: Three dead, 11 injured in militant attack on ...",https://www.the-star.co.ke//news/world/2021-12-14-srinagar-three-dead-11-injured-in-militant-attack-on-police-bus/,12/14/2021,Terrorism
Adored and endangered: The complex world of the Japanese eel,https://www.the-star.co.ke//news/world/2021-12-14-adored-and-endangered-the-complex-world-of-the-japanese-eel/,12/14/2021,Poaching
Crypto boom poses new challenge to financial ...,https://www.the-star.co.ke//business/markets/2021-10-04-crypto-boom-poses-new-challenge-to-financial-stabilityreport/,12/14/2021,Terrorism
"Snake Bites: Urgent Intervention Needed to Address Health Menace, Stop Victims from Resort...",https://www.tuko.co.ke/editorial/opinion/436731-snake-bites-urgent-intervention-needed-address-health-menace-stop-victims-resorting-witch-doctors/,12/14/2021,Poaching
List of 39 Countries Kenyan Citizens Can Travel to Without Visa,https://www.tuko.co.ke/kenya/431053-list-39-countries-kenyan-citizens-can-travel-without-visa/,12/14/2021,Terrorism
DPP Orders Prosecution of Murgor Siblings Over Assault Saga Involving Ndichu Twins,https://www.tuko.co.ke/people/relationships/436885-dpp-orders-prosecution-murgor-sisters-over-ndichu-twins-saga/,12/14/2021,Terrorism
Another Sh113m sent to student by boyfriend frozen,https://www.businessdailyafrica.com//bd/news/another-sh113m-sent-to-student-boyfriend-frozen-3653206,12/15/2021,Money-Laundering
Sh113m sent to 'girlfriend' by foreigner frozen,https://www.the-star.co.ke//news/2021-12-14-judge-freezes-another-sh113m-sent-to-girlfriend-by-foreigner/,12/15/2021,Money-Laundering
Another Mysterious Ksh 102M Found in Account of University Girl's Friend,https://www.kenyans.co.ke//news/71623-another-mysterious-ksh-102m-found-account-university-girls-friend,12/15/2021,Money-Laundering
New Twist as Govt Finds Another KSh 108m in Bank Account of Felesta Njoroge's Fr...,https://www.tuko.co.ke/kenya/437065-new-twist-govt-finds-another-ksh-108m-in-bank-account-felesta-njoroges-friend/,12/15/2021,Money-Laundering
National Counter-Terrorism Centre Enhances Training for Security Personnel,https://www.kenyanews.go.ke/national-counter-terrorism-centre-enhances-training-for-security-personnel/,12/15/2021,Terrorism
Eyes on General Kibochi as Amisom mandate expires,https://nation.africa//kenya/news/eyes-on-general-kibochi-as-amisom-mandate-expires-3654912,12/16/2021,Terrorism
Judge declines to give back Sonko Sh15m cash bail,https://nation.africa//kenya/news/court-rejects-sonko-s-bid-to-replace-cash-bail-with-log-books-3654964,12/16/2021,Money-Laundering
Armed bandits kill herder in Isiolo,https://nation.africa//kenya/counties/isiolo/armed-bandits-kill-herder-in-isiolo-3654046,12/16/2021,Terrorism
DPP in Fresh Battle to Extradite Kenyan in Ksh128M Case to US,https://www.kenyans.co.ke//news/71664-dpp-fresh-battle-extradite-kenyan-ksh128m-case-us,12/16/2021,Money-Laundering
"Al Shabaab Ambush, Injure Officers on Patrol",https://www.kenyans.co.ke//news/71650-al-shabaab-ambush-police-patrol-injure-officers,12/16/2021,Terrorism
Two Mandera reservists injured in al-shabaab attack,https://www.the-star.co.ke//news/2021-12-16-two-mandera-reservists-injured-in-al-shabaab-attack/,12/16/2021,Terrorism
"Police Officers Will Not Have Christmas Break, CS Fred Matiang'i Announces",https://www.tuko.co.ke/kenya/counties/437183-police-officers-will-not-have-christmas-break-fred-matiangi-announces/,12/16/2021,Terrorism
"Your chickens can't lay as many eggs as ours, Uganda tells Kenya  ",https://www.standardmedia.co.ke/business/article/2001431949/your-chickens-cant-lay-as-many-eggs-as-ours-uganda-tells-kenya,12/16/2021,Smuggling
DPP in bid to extradite fugitive wanted over money laundering ,https://www.standardmedia.co.ke/national/article/2001431946/dpp-in-bid-to-extradite-fugitive-wanted-over-money-laundering,12/16/2021,Money-Laundering
Government initiates a community led counter-terrorism program,https://www.kenyanews.go.ke/govt-initiates-a-community-led-counter-terrorism-program/,12/17/2021,Terrorism
Government assures Kenyans of ample security during festive season,https://www.kenyanews.go.ke/govt-assures-kenyans-of-ample-security-during-festive-season/,12/17/2021,Terrorism
" Let’s rethink our conservation approaches, Uhuru challenges stakeholders ",https://www.kbc.co.ke/lets-rethink-our-conservation-approaches-uhuru-challenges-stakeholders/,12/17/2021,Poaching
 Parliament to hold special siting next week ,https://www.kbc.co.ke/parliament-to-hold-special-siting-next-week/,12/17/2021,Money-Laundering
